经度,纬度,结果,取绝对值后,分级
116.4791412,39.8715974,1.184842364,1.184842364,1
116.479169,39.87153937,0.750545954,0.750545954,1
116.4792007,39.87147999,0.247863175,0.247863175,1
116.4792299,39.87142263,0.322985379,0.322985379,1
116.4792614,39.87136325,0.428793791,0.428793791,1
116.4792948,39.87130152,0.133429587,0.133429587,1
116.4793291,39.87124794,2.579066534,2.579066534,3
116.4793728,39.87119034,3.214916805,3.214916805,4
116.4794098,39.87113002,3.377911552,3.377911552,4
116.4794298,39.87106624,3.280831497,3.280831497,4
116.4794408,39.87101159,3.094979105,3.094979105,4
116.4794593,39.87095997,0.01140183,0.01140183,1
116.4794803,39.87091535,1.169170473,1.169170473,1
116.4794966,39.87088271,0.634156141,0.634156141,1
116.4795081,39.87085914,0.046218273,0.046218273,1
116.4795151,39.87084515,-1.491591247,1.491591247,2
116.4795195,39.87083317,-2.78103144,2.78103144,4
116.4795226,39.87082293,-2.279888134,2.279888134,3
116.479529,39.87081226,0.540457098,0.540457098,1
116.4795357,39.87080147,0.482398527,0.482398527,1
116.4795469,39.8707819,0.440421339,0.440421339,1
116.479563,39.87075048,0.064459087,0.064459087,1
116.4795827,39.87070922,1.225156322,1.225156322,2
116.4796021,39.87066772,-0.069105316,0.069105316,1
116.4796186,39.87063452,2.12328232,2.12328232,3
116.4796287,39.87061721,3.169516505,3.169516505,4
116.4796441,39.87058646,2.982305993,2.982305993,4
116.4796498,39.8705784,2.095526946,2.095526946,3
116.4796498,39.8705784,2.223061989,2.223061989,3
116.4796537,39.87057076,2.102938923,2.102938923,3
116.4796622,39.87055162,2.351497313,2.351497313,3
116.4796759,39.87052516,2.069427926,2.069427926,3
116.4796935,39.87049807,0.048486953,0.048486953,1
116.4797112,39.87046753,-1.54691106,1.54691106,2
116.479727,39.87043536,-1.594541027,1.594541027,2
116.4797368,39.8704103,-3.104081185,3.104081185,4
116.4797409,39.87039094,-2.42431462,2.42431462,3
116.4797491,39.87037487,2.74096197,2.74096197,4
116.4797554,39.87035859,3.372815684,3.372815684,4
116.4797622,39.87033937,3.444576793,3.444576793,4
116.4797638,39.87031276,3.459544817,3.459544817,4
116.4797676,39.8702793,3.392133041,3.392133041,4
116.4797698,39.87023188,2.564148328,2.564148328,3
116.4797703,39.8701714,3.309500944,3.309500944,4
116.4797714,39.87011178,2.737393873,2.737393873,4
116.4797736,39.8700484,2.831052914,2.831052914,4
116.4797745,39.86998219,3.313565363,3.313565363,4
116.4797622,39.86995253,3.246397126,3.246397126,4
116.4797552,39.86992931,3.337282454,3.337282454,4
116.4797546,39.86988815,3.389700575,3.389700575,4
116.4797644,39.86982718,3.43006306,3.43006306,4
116.4797792,39.86977002,3.467015461,3.467015461,4
116.4797954,39.8697283,3.208777195,3.208777195,4
116.4798191,39.86969394,2.899769223,2.899769223,4
116.4798414,39.86966929,2.82211832,2.82211832,4
116.4798625,39.86965167,2.802979301,2.802979301,4
116.4798714,39.86963717,2.321991724,2.321991724,3
116.4798977,39.86961323,1.39131045,1.39131045,2
116.4799403,39.86958448,0.969037899,0.969037899,1
116.4799871,39.8695579,1.698671856,1.698671856,3
116.4800559,39.86952113,1.824565142,1.824565142,3
116.4801381,39.86947776,2.14932008,2.14932008,3
116.4802273,39.86943235,2.079573963,2.079573963,3
116.480321,39.8693841,2.088239113,2.088239113,3
116.4804145,39.86933065,2.259606884,2.259606884,3
116.4804961,39.8692853,2.25506233,2.25506233,3
116.4805661,39.86924912,2.19508011,2.19508011,3
116.4806233,39.86921525,2.513218402,2.513218402,3
116.4806772,39.86918225,2.637097709,2.637097709,3
116.4807195,39.86914742,2.479694932,2.479694932,3
116.4807639,39.86911502,2.908198267,2.908198267,4
116.4808013,39.86908451,2.958235404,2.958235404,4
116.4808308,39.8690423,3.079974784,3.079974784,4
116.48087,39.86900405,3.135425161,3.135425161,4
116.48092,39.86897308,3.058677105,3.058677105,4
116.4809761,39.86893692,3.067617346,3.067617346,4
116.4810392,39.86889113,3.05254292,3.05254292,4
116.481109,39.86883522,2.718689641,2.718689641,4
116.4811848,39.86876883,2.050834754,2.050834754,3
116.4812535,39.86870251,1.057180243,1.057180243,1
116.4813162,39.86863088,0.444365744,0.444365744,1
116.4813778,39.86855302,0.185208328,0.185208328,1
116.4814407,39.86846613,-0.983061652,0.983061652,1
116.4815055,39.86837289,-0.604168316,0.604168316,1
116.4815744,39.86827742,-0.005904342,0.005904342,1
116.4816333,39.8681805,1.85404446,1.85404446,3
116.4816883,39.86808332,2.349381721,2.349381721,3
116.4817377,39.86798267,1.50168692,1.50168692,2
116.4818345,39.86777751,1.691917792,1.691917792,2
116.4818727,39.86767835,1.68852675,1.68852675,2
116.4819024,39.86758652,1.415886451,1.415886451,2
116.4819189,39.86750342,-0.609666434,0.609666434,1
116.4819293,39.86743411,-1.339490225,1.339490225,2
116.4819213,39.86737688,-1.858019212,1.858019212,3
116.4819364,39.86732611,-0.647244424,0.647244424,1
116.4819471,39.86727533,-1.077374715,1.077374715,1
116.481955,39.86723524,-0.941719298,0.941719298,1
116.4819581,39.86720042,-1.225370466,1.225370466,2
116.4819635,39.86716668,1.170038697,1.170038697,1
116.4819713,39.86713171,0.334041664,0.334041664,1
116.4819753,39.86709308,1.324592726,1.324592726,2
116.4819771,39.86704788,1.916713556,1.916713556,3
116.4819783,39.86699589,1.761340814,1.761340814,3
116.4819738,39.86693629,1.902243036,1.902243036,3
116.4819642,39.86686515,0.573462866,0.573462866,1
116.4819524,39.86679057,0.931831061,0.931831061,1
116.4819408,39.86671719,1.40454845,1.40454845,2
116.4819307,39.86664572,0.753271506,0.753271506,1
116.4819181,39.86658253,0.520084231,0.520084231,1
116.481904,39.86652722,1.570557582,1.570557582,2
116.4818978,39.86648082,-0.466977254,0.466977254,1
116.4818921,39.86644203,-1.292352404,1.292352404,2
116.4818859,39.86640918,-2.03912796,2.03912796,3
116.4818784,39.86637778,-1.793637784,1.793637784,3
116.4818702,39.86634737,-1.197998073,1.197998073,2
116.4818629,39.86632024,1.169832462,1.169832462,1
116.4818582,39.86629944,1.441968538,1.441968538,2
116.4818575,39.866282,0.482115652,0.482115652,1
116.4818557,39.86626815,-0.272056844,0.272056844,1
116.4818553,39.86625726,0.886644088,0.886644088,1
116.4818537,39.86624338,1.061263695,1.061263695,1
116.4818513,39.8662301,0.041640503,0.041640503,1
116.4818469,39.86621036,-0.780466609,0.780466609,1
116.4818382,39.86617764,-0.122502632,0.122502632,1
116.4818262,39.86613429,0.339959005,0.339959005,1
116.481814,39.86608187,2.875074566,2.875074566,4
116.4818002,39.86602071,3.052257446,3.052257446,4
116.4817871,39.86595451,2.004442179,2.004442179,3
116.4817745,39.86588142,2.074447683,2.074447683,3
116.4817621,39.86580462,1.587568781,1.587568781,2
116.4817491,39.86572658,1.834395458,1.834395458,3
116.4817374,39.86564796,2.095325437,2.095325437,3
116.4817258,39.86557079,1.682830832,1.682830832,2
116.4817111,39.86549447,1.296865049,1.296865049,2
116.4816989,39.86541539,2.29084955,2.29084955,3
116.4816781,39.86533399,2.146240301,2.146240301,3
116.4816598,39.86524877,2.708830045,2.708830045,4
116.4816439,39.86516077,2.61022755,2.61022755,3
116.4816298,39.86507364,2.322643676,2.322643676,3
116.4816179,39.86498736,1.30100305,1.30100305,2
116.4816048,39.86490167,1.267914235,1.267914235,2
116.4815929,39.86481371,2.187063533,2.187063533,3
116.4815813,39.86472414,2.046853512,2.046853512,3
116.4815673,39.86463207,2.221277258,2.221277258,3
116.4815518,39.86453519,1.800596787,1.800596787,3
116.481536,39.86443649,1.180308732,1.180308732,1
116.4815195,39.86433898,2.60250844,2.60250844,3
116.4815034,39.86424126,2.362392295,2.362392295,3
116.4814898,39.86414446,-3.635826747,3.635826747,5
116.481473,39.86404965,-4.912312661,4.912312661,5
116.4814541,39.8639575,-4.286315651,4.286315651,5
116.4814343,39.86386764,-1.39061191,1.39061191,2
116.4814111,39.86377842,-5.929692191,5.929692191,5
116.4813908,39.86369079,-3.065766697,3.065766697,4
116.4813795,39.86360226,-3.985099171,3.985099171,5
116.4813413,39.86341571,-0.178843729,0.178843729,1
116.4813332,39.86331704,-2.107299321,2.107299321,3
116.4813238,39.86321659,-0.20980341,0.20980341,1
116.4813119,39.86311394,-0.748676458,0.748676458,1
116.4813019,39.86300706,-1.703314013,1.703314013,3
116.481291,39.86289792,-0.891910647,0.891910647,1
116.4812758,39.86278726,-1.349065871,1.349065871,2
116.481259,39.86267531,-1.280241725,1.280241725,2
116.4812452,39.86256174,-0.667289063,0.667289063,1
116.4812298,39.86244741,-1.195196384,1.195196384,2
116.4812065,39.86233495,-0.236687066,0.236687066,1
116.4811839,39.86222183,-1.79815791,1.79815791,3
116.4811633,39.86210768,-1.979307932,1.979307932,3
116.4811441,39.86199617,0.367139063,0.367139063,1
116.4811254,39.86188749,0.127767141,0.127767141,1
116.481105,39.86177916,0.845204615,0.845204615,1
116.4810864,39.86167156,1.441923303,1.441923303,2
116.4810656,39.86156618,1.751530307,1.751530307,3
116.4810438,39.86146395,1.766543747,1.766543747,3
116.4810289,39.86136737,2.295467492,2.295467492,3
116.4810011,39.86127637,2.396071398,2.396071398,3
116.480993,39.86118907,2.500326458,2.500326458,3
116.4809825,39.86110296,2.214840805,2.214840805,3
116.4809588,39.86101666,0.715052785,0.715052785,1
116.4809545,39.86093181,-0.799285229,0.799285229,1
116.4809587,39.86084805,1.608149,1.608149,2
116.4809451,39.86076284,1.748997496,1.748997496,3
116.4809264,39.86067555,-0.034080853,0.034080853,1
116.4809287,39.86058379,-0.477765005,0.477765005,1
116.4809234,39.86048959,-1.352439193,1.352439193,2
116.4809138,39.86039921,-2.009206216,2.009206216,3
116.4809026,39.86031614,-5.231844002,5.231844002,5
116.4808927,39.86024357,-8.475076321,8.475076321,5
116.4808812,39.86017922,-0.955542408,0.955542408,1
116.4808563,39.86011621,-3.492102016,3.492102016,5
116.4808348,39.86004972,-3.013473313,3.013473313,4
116.4808128,39.85997639,-3.456094016,3.456094016,4
116.4807945,39.85989543,-1.111920819,1.111920819,1
116.4807715,39.85980685,-0.537548705,0.537548705,1
116.4807525,39.85971102,3.012456614,3.012456614,4
116.4807339,39.85961172,1.660894072,1.660894072,2
116.4807182,39.85950721,2.334671401,2.334671401,3
116.4807136,39.85939864,1.385246764,1.385246764,2
116.480708,39.85928972,1.579351401,1.579351401,2
116.480698,39.85918353,3.170006178,3.170006178,4
116.4806857,39.85907717,2.933639082,2.933639082,4
116.4806728,39.85896526,-0.887982879,0.887982879,1
116.4806612,39.85884749,3.39941801,3.39941801,4
116.480628,39.85872496,3.564586268,3.564586268,5
116.4806003,39.85859632,3.562813373,3.562813373,5
116.4805763,39.85846445,3.563695582,3.563695582,5
116.4805656,39.85833217,3.551714145,3.551714145,5
116.4805401,39.85819935,3.54917367,3.54917367,5
116.4805164,39.85806509,3.570612022,3.570612022,5
116.4804927,39.85793151,3.56257104,3.56257104,5
116.4804797,39.85780076,3.529034356,3.529034356,5
116.4804651,39.85767336,3.498375548,3.498375548,5
116.4804402,39.85754927,3.291443982,3.291443982,4
116.4804158,39.85742914,2.47906131,2.47906131,3
116.4803835,39.85731397,3.43825985,3.43825985,4
116.4803607,39.85720299,3.478130865,3.478130865,5
116.4803378,39.85709344,3.567328898,3.567328898,5
116.4803085,39.85698315,3.542910128,3.542910128,5
116.4803128,39.85677497,3.508761515,3.508761515,5
116.4803168,39.85667692,3.57011863,3.57011863,5
116.4803104,39.85658379,3.569304696,3.569304696,5
116.4803007,39.85649282,3.499024123,3.499024123,5
116.4802882,39.85640108,3.567070704,3.567070704,5
116.480275,39.85630747,3.559956383,3.559956383,5
116.4802619,39.8562101,3.554910846,3.554910846,5
116.4802529,39.85610959,3.520610976,3.520610976,5
116.4802538,39.85600881,2.864969201,2.864969201,4
116.480256,39.8559052,2.909294166,2.909294166,4
116.4802566,39.8557961,3.089380249,3.089380249,4
116.4802348,39.85567545,-1.174642205,1.174642205,1
116.480211,39.85554228,-2.121881402,2.121881402,3
116.4801876,39.85540517,-1.370618779,1.370618779,2
116.4801737,39.85526728,2.916790159,2.916790159,4
116.4801628,39.85513102,2.677006346,2.677006346,4
116.4801469,39.85499776,3.523537914,3.523537914,5
116.4801406,39.85486564,3.391877605,3.391877605,4
116.4801297,39.85473319,3.581216047,3.581216047,5
116.4801126,39.85460046,3.573190604,3.573190604,5
116.4800961,39.85446807,3.582212545,3.582212545,5
116.48008,39.85433449,3.575847934,3.575847934,5
116.4800654,39.8541989,3.569754565,3.569754565,5
116.4800418,39.85405526,3.572845281,3.572845281,5
116.480024,39.85390077,3.40587666,3.40587666,4
116.4800049,39.85373743,3.54730003,3.54730003,5
116.4799842,39.85356098,3.558064005,3.558064005,5
116.4799617,39.85337246,3.330662745,3.330662745,4
116.4799571,39.85318109,2.992896662,2.992896662,4
116.4799339,39.85299033,-5.895466841,5.895466841,5
116.4799062,39.85279853,-0.551897826,0.551897826,1
116.4798614,39.85260609,-6.455541191,6.455541191,5
116.4798275,39.8524137,-4.199823426,4.199823426,5
116.4798148,39.85222258,-4.138293374,4.138293374,5
116.479791,39.85203257,-1.397719156,1.397719156,2
116.4797413,39.85184265,-2.080162692,2.080162692,3
116.4797055,39.85165363,-2.568142365,2.568142365,3
116.4796739,39.85146734,-2.454779936,2.454779936,3
116.4796449,39.85128389,-2.003879875,2.003879875,3
116.4796162,39.85110309,-0.918269549,0.918269549,1
116.4796036,39.85092375,-1.537247038,1.537247038,2
116.4795929,39.85074329,-1.588533627,1.588533627,2
116.4795715,39.85056253,-2.102514574,2.102514574,3
116.4795367,39.85038162,-2.216118541,2.216118541,3
116.4795006,39.85019805,-2.968208757,2.968208757,4
116.4794716,39.85001027,-3.033339152,3.033339152,4
116.4794101,39.84982088,-1.214080818,1.214080818,2
116.4793666,39.84962671,2.703074592,2.703074592,4
116.4793255,39.84942982,2.24179904,2.24179904,3
116.4792848,39.84923285,3.006069064,3.006069064,4
116.4792413,39.8490372,0.84778141,0.84778141,1
116.4792126,39.84883814,1.290326037,1.290326037,2
116.4791697,39.84864281,1.263531539,1.263531539,2
116.4791196,39.84845112,-5.310659836,5.310659836,5
116.4790582,39.84826142,-5.777660985,5.777660985,5
116.4789991,39.84807307,-5.702781321,5.702781321,5
116.4789426,39.8478883,-1.947980476,1.947980476,3
116.4788967,39.84770639,-2.007335143,2.007335143,3
116.4788337,39.84753275,-1.635703814,1.635703814,2
116.4787776,39.84736244,-3.188093144,3.188093144,4
116.4786143,39.84704238,-0.714414763,0.714414763,1
116.478532,39.84688077,-1.95679331,1.95679331,3
116.4784509,39.84671861,-2.397760069,2.397760069,3
116.4783767,39.84655494,1.580923094,1.580923094,2
116.4782923,39.84639655,-0.409631507,0.409631507,1
116.4781975,39.84624065,0.56592304,0.56592304,1
116.4780883,39.84608965,-1.362320447,1.362320447,2
116.4779866,39.84593756,-1.721135431,1.721135431,3
116.4778885,39.84578536,-2.692955806,2.692955806,4
116.477807,39.84562603,-1.657399033,1.657399033,2
116.4777051,39.84547477,0.088825393,0.088825393,1
116.4775984,39.8453259,-1.248908621,1.248908621,2
116.4774899,39.84517825,-1.266965313,1.266965313,2
116.47738,39.84503226,1.021329841,1.021329841,1
116.4772643,39.84489013,-0.7001181,0.7001181,1
116.4771284,39.84475517,-2.188996231,2.188996231,3
116.4769989,39.84461592,-2.557059611,2.557059611,3
116.4768805,39.84447063,-3.167465808,3.167465808,4
116.4767142,39.84434732,-0.124664359,0.124664359,1
116.476556,39.84421425,-1.004910873,1.004910873,1
116.476416,39.844072,-1.499887977,1.499887977,2
116.4762785,39.84393062,-1.231681221,1.231681221,2
116.4761386,39.84378879,-0.605917864,0.605917864,1
116.4759932,39.84364724,-0.272123159,0.272123159,1
116.4758378,39.84350971,0.218643679,0.218643679,1
116.4756788,39.84337643,0.064042668,0.064042668,1
116.4755165,39.84325062,-0.654412173,0.654412173,1
116.4753539,39.84312588,0.286040727,0.286040727,1
116.4751919,39.84300064,0.305188478,0.305188478,1
116.4750292,39.84287655,-1.27855101,1.27855101,2
116.4748539,39.84276249,-0.752422727,0.752422727,1
116.4746823,39.84264355,-2.538494328,2.538494328,3
116.4745057,39.84252584,-2.425077085,2.425077085,3
116.4743297,39.8424055,-1.29311127,1.29311127,2
116.4741525,39.84228186,-0.331122434,0.331122434,1
116.473971,39.84215576,-3.196603354,3.196603354,4
116.4737907,39.84202727,-1.182299007,1.182299007,1
116.4736075,39.84190201,-3.13125898,3.13125898,4
116.4734246,39.84177906,-2.857239723,2.857239723,4
116.4732441,39.84165858,-2.737485933,2.737485933,4
116.4730613,39.84153882,-2.467551467,2.467551467,3
116.4728735,39.84142119,-1.19488881,1.19488881,2
116.472686,39.84130345,-1.27408227,1.27408227,2
116.4725036,39.84118662,-1.435232262,1.435232262,2
116.4723212,39.84106888,1.971324841,1.971324841,3
116.4721495,39.84094813,1.966848448,1.966848448,3
116.4719907,39.84081312,2.245998752,2.245998752,3
116.4718,39.84070299,2.958823765,2.958823765,4
116.471615,39.84059142,2.97132797,2.97132797,4
116.4714405,39.84046277,2.650026457,2.650026457,4
116.4712647,39.84032798,0.324394223,0.324394223,1
116.4710843,39.84020132,-1.896859124,1.896859124,3
116.470896,39.84007621,-3.532974858,3.532974858,5
116.4707039,39.83995653,-3.081025291,3.081025291,4
116.4705158,39.83983764,-0.907983452,0.907983452,1
116.4703395,39.83971319,0.805094626,0.805094626,1
116.4701697,39.8395869,0.403296516,0.403296516,1
116.4700001,39.83946758,-1.708981624,1.708981624,3
116.4698229,39.83936245,-3.28813185,3.28813185,4
116.4696518,39.8392554,-3.471175407,3.471175407,5
116.4694778,39.83915435,-4.375423683,4.375423683,5
116.4693122,39.83905064,-0.61345352,0.61345352,1
116.4691524,39.83894743,2.38570561,2.38570561,3
116.4689907,39.83884882,1.077722783,1.077722783,1
116.4686752,39.83864826,0.503892741,0.503892741,1
116.4685216,39.8385475,2.136570557,2.136570557,3
116.4683697,39.83844516,-0.10654624,0.10654624,1
116.4682123,39.83834323,-1.973491616,1.973491616,3
116.4680493,39.83823843,-3.034983129,3.034983129,4
116.4678817,39.83813043,-3.654474011,3.654474011,5
116.4677138,39.83802281,-2.998800707,2.998800707,4
116.4675434,39.83792338,-1.063259123,1.063259123,1
116.4673893,39.83781452,0.517000844,0.517000844,1
116.4672349,39.83771147,1.284530412,1.284530412,2
116.467083,39.83761361,-0.083414745,0.083414745,1
116.4669372,39.83751579,-2.446891942,2.446891942,3
116.4668091,39.83740936,-2.273826518,2.273826518,3
116.4666743,39.83731483,-2.895248219,2.895248219,4
116.4665384,39.83722354,-3.01290447,3.01290447,4
116.4664031,39.83713312,-5.175058336,5.175058336,5
116.4662554,39.83705311,-5.325719577,5.325719577,5
116.4661116,39.83696428,-1.223309189,1.223309189,2
116.4659673,39.8368727,1.318796015,1.318796015,2
116.4658247,39.83678014,1.675689505,1.675689505,2
116.4656815,39.83668638,2.03170246,2.03170246,3
116.4655344,39.83659265,2.33162417,2.33162417,3
116.4653867,39.83649711,2.504742391,2.504742391,3
116.4652385,39.83639984,2.277269384,2.277269384,3
116.4650878,39.83630283,2.398754782,2.398754782,3
116.4649355,39.83620442,1.891151801,1.891151801,3
116.4647803,39.83610678,-0.034181465,0.034181465,1
116.4646259,39.83600766,-0.307983523,0.307983523,1
116.4644723,39.83590833,-3.981225401,3.981225401,5
116.4643232,39.83580822,-3.955234327,3.955234327,5
116.464175,39.83571066,-3.849380794,3.849380794,5
116.4640278,39.83561513,-2.348540366,2.348540366,3
116.4638867,39.83552264,-3.896490717,3.896490717,5
116.4637519,39.83543468,-3.718928416,3.718928416,5
116.4636275,39.83534679,-0.622376932,0.622376932,1
116.4635061,39.83526558,-1.340471596,1.340471596,2
116.463379,39.83519072,-1.639113224,1.639113224,2
116.4632614,39.83510899,-0.053498987,0.053498987,1
116.4631407,39.8350303,2.45410896,2.45410896,3
116.4630169,39.83495178,2.595411157,2.595411157,3
116.4628912,39.83487354,2.906120358,2.906120358,4
116.4627646,39.83479784,2.307320668,2.307320668,3
116.4626389,39.83472347,3.128368369,3.128368369,4
116.4625093,39.83465673,2.510266109,2.510266109,3
116.4623877,39.83458554,2.158833714,2.158833714,3
116.46226,39.83451665,1.830255598,1.830255598,3
116.4621299,39.83444358,-0.025187772,0.025187772,1
116.4619985,39.8343692,-0.649372853,0.649372853,1
116.4618678,39.83429292,2.005369765,2.005369765,3
116.4617245,39.83422652,0.238982935,0.238982935,1
116.4615867,39.83415104,1.780233042,1.780233042,3
116.4614436,39.8340776,1.717295657,1.717295657,3
116.4612999,39.83400448,1.451250229,1.451250229,2
116.4611551,39.8339332,2.17769664,2.17769664,3
116.4610103,39.83386413,1.03089781,1.03089781,1
116.4608626,39.83380025,-0.490862497,0.490862497,1
116.4607092,39.8337492,-0.64374682,0.64374682,1
116.4605755,39.83369435,-0.037772801,0.037772801,1
116.4603646,39.83359583,0.078199911,0.078199911,1
116.4602712,39.83355135,0.998284384,0.998284384,1
116.4601799,39.83351132,1.309884382,1.309884382,2
116.4600902,39.83347564,2.237181676,2.237181676,3
116.4600031,39.83343976,2.377693742,2.377693742,3
116.4599177,39.83340702,2.8470223,2.8470223,4
116.4598346,39.83337506,2.80965983,2.80965983,4
116.4597531,39.83334409,3.502119574,3.502119574,5
116.4596722,39.83331609,1.955694949,1.955694949,3
116.459596,39.83328895,1.199597494,1.199597494,2
116.4595243,39.83326077,2.032883316,2.032883316,3
116.4594584,39.83323769,1.749037886,1.749037886,3
116.4593986,39.83321737,-1.286074096,1.286074096,2
116.4593385,39.83320088,-1.066714406,1.066714406,1
116.459281,39.83318465,-0.868020241,0.868020241,1
116.4592242,39.8331636,2.341948946,2.341948946,3
116.4591611,39.83314332,2.583958772,2.583958772,3
116.4590929,39.83311952,2.289605782,2.289605782,3
116.4590225,39.83309661,2.340060787,2.340060787,3
116.4589517,39.8330764,3.144400638,3.144400638,4
116.4588813,39.833055,2.728056163,2.728056163,4
116.4588139,39.83303458,1.317432369,1.317432369,2
116.4587502,39.83301533,0.839616248,0.839616248,1
116.4586878,39.83299749,1.157469682,1.157469682,1
116.4586261,39.83297822,1.701019543,1.701019543,3
116.4585581,39.83295452,2.353427867,2.353427867,3
116.4584771,39.83293365,1.725854519,1.725854519,3
116.458389,39.83291106,1.772684377,1.772684377,3
116.4583,39.83288955,2.81209764,2.81209764,4
116.4582146,39.83286772,2.35397765,2.35397765,3
116.4581388,39.83283755,2.410788567,2.410788567,3
116.458066,39.83281592,2.263058892,2.263058892,3
116.4579927,39.83279998,1.668546099,1.668546099,2
116.457921,39.83278291,1.819852987,1.819852987,3
116.4578564,39.83276645,2.762643808,2.762643808,4
116.4578059,39.83275081,2.690369548,2.690369548,4
116.4577616,39.83273947,3.005855947,3.005855947,4
116.4577175,39.83272829,1.937296544,1.937296544,3
116.4576743,39.83271799,2.017581288,2.017581288,3
116.4576311,39.83270889,2.146581204,2.146581204,3
116.4575859,39.83270166,1.603594375,1.603594375,2
116.4575375,39.83268908,1.237016982,1.237016982,2
116.4574845,39.83267955,1.12327793,1.12327793,1
116.4574262,39.8326676,-0.292211975,0.292211975,1
116.4573615,39.83264839,0.054956887,0.054956887,1
116.4572913,39.83263852,-0.524208182,0.524208182,1
116.4572243,39.83261346,-0.244830174,0.244830174,1
116.4571518,39.83259552,-0.82351214,0.82351214,1
116.4570799,39.83257924,-0.017423573,0.017423573,1
116.4570145,39.83256638,0.5001528,0.5001528,1
116.4569564,39.83255815,1.441981933,1.441981933,2
116.4569037,39.83254395,1.28154062,1.28154062,2
116.4568512,39.83253354,1.560549206,1.560549206,2
116.456801,39.8325216,0.530864658,0.530864658,1
116.4567508,39.8325113,2.061620309,2.061620309,3
116.4566971,39.832505,2.058336631,2.058336631,3
116.4566384,39.83249455,1.771155631,1.771155631,3
116.4565703,39.83248141,0.308474071,0.308474071,1
116.4564944,39.83246647,0.032616758,0.032616758,1
116.4564099,39.83245421,-1.614006917,1.614006917,2
116.4563217,39.83244295,-1.859322456,1.859322456,3
116.4562384,39.8324291,2.001683958,2.001683958,3
116.4561609,39.83241821,1.218447831,1.218447831,2
116.4560928,39.83240832,1.436105165,1.436105165,2
116.4560343,39.83240243,0.593532406,0.593532406,1
116.4559385,39.83239747,2.105114694,2.105114694,3
116.4558942,39.83239207,2.067002266,2.067002266,3
116.455847,39.83238874,1.800451852,1.800451852,3
116.4557929,39.8323797,2.159014998,2.159014998,3
116.4557276,39.8323695,1.232180411,1.232180411,2
116.4556517,39.83235916,0.764696397,0.764696397,1
116.4555675,39.83234926,-2.042802358,2.042802358,3
116.4554803,39.83233965,-1.694931462,1.694931462,2
116.4553931,39.83233021,-0.421394657,0.421394657,1
116.4553041,39.83231652,-2.33663258,2.33663258,3
116.4552104,39.83230492,-3.344718922,3.344718922,4
116.4551164,39.83228905,-2.511643638,2.511643638,3
116.45503,39.83228134,-2.163365734,2.163365734,3
